R0,k,k_label,extinction_prob,establishment_n1
5.011528822055138,0.05,0.05,0.8793090270033121,0.12069097299668785
5.026065162907268,0.05,0.05,0.8791318155371337,0.12086818446286629
5.040601503759398,0.05,0.05,0.8789552121150994,0.12104478788490058
5.0551378446115285,0.05,0.05,0.8787792128008378,0.12122078719916218
5.069674185463659,0.05,0.05,0.8786038136952223,0.12139618630477766
5.084210526315789,0.05,0.05,0.8784290109359081,0.12157098906409192
5.09874686716792,0.05,0.05,0.8782548006968762,0.12174519930312377
5.11328320802005,0.05,0.05,0.8780811791879874,0.12191882081201255
5.12781954887218,0.05,0.05,0.8779081426545385,0.12209185734546146
5.1423558897243105,0.05,0.05,0.8777356873768294,0.12226431262317061
5.156892230576441,0.05,0.05,0.8775638096697338,0.1224361903302662
5.171428571428571,0.05,0.05,0.877392505882278,0.12260749411772198
5.185964912280702,0.05,0.05,0.8772217723972255,0.12277822760277446
5.200501253132832,0.05,0.05,0.8770516056306688,0.12294839436933125
5.215037593984962,0.05,0.05,0.876882002031625,0.12311799796837497
5.229573934837092,0.05,0.05,0.8767129580816395,0.12328704191836048
5.244110275689223,0.05,0.05,0.8765444702943959,0.12345552970560414
5.258646616541353,0.05,0.05,0.8763765352153292,0.12362346478467079
5.273182957393484,0.05,0.05,0.8762091494212478,0.12379085057875217
5.287719298245614,0.05,0.05,0.8760423095199585,0.12395769048004146
5.302255639097744,0.05,0.05,0.875876012149899,0.12412398785010104
5.316791979949874,0.05,0.05,0.8757102539797743,0.12428974602022569
5.331328320802005,0.05,0.05,0.8755450317081992,0.1244549682918008
5.345864661654135,0.05,0.05,0.8753803420633461,0.12461965793665386
5.360401002506266,0.05,0.05,0.8752161818025976,0.12478381819740236
5.374937343358396,0.05,0.05,0.8750525477122042,0.1249474522877958
5.389473684210526,0.05,0.05,0.8748894366069471,0.12511056339305293
5.404010025062656,0.05,0.05,0.8747268453298052,0.12527315467019484
5.4185463659147866,0.05,0.05,0.8745647707516282,0.1254352292483718
5.433082706766917,0.05,0.05,0.8744032097708141,0.1255967902291859
5.447619047619048,0.05,0.05,0.874242159312989,0.125757840687011
5.462155388471178,0.05,0.05,0.8740816163306953,0.12591838366930475
5.476691729323308,0.05,0.05,0.8739215778030813,0.12607842219691867
5.491228070175438,0.05,0.05,0.8737620407355968,0.12623795926440318
5.5057644110275685,0.05,0.05,0.8736030021596923,0.12639699784030767
5.520300751879699,0.05,0.05,0.8734444591325226,0.12655554086747745
5.534837092731829,0.05,0.05,0.8732864087366548,0.12671359126334525
5.54937343358396,0.05,0.05,0.8731288480797799,0.12687115192022014
5.56390977443609,0.05,0.05,0.8729717742944294,0.1270282257055706
5.57844611528822,0.05,0.05,0.872815184537695,0.12718481546230498
5.5929824561403505,0.05,0.05,0.8726590759909516,0.1273409240090484
5.607518796992481,0.05,0.05,0.8725034458595864,0.1274965541404136
5.622055137844611,0.05,0.05,0.8723482913727292,0.12765170862727082
5.636591478696742,0.05,0.05,0.8721936097829885,0.12780639021701146
5.651127819548872,0.05,0.05,0.8720393983661894,0.12796060163381062
5.665664160401002,0.05,0.05,0.8718856544211169,0.12811434557888313
5.6802005012531325,0.05,0.05,0.8717323752692605,0.1282676247307395
